/Users/jinwookkim/projects/ml_model/.venv/lib/python3.13/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
Starting EfficientNet training script...

--- Model Initialization (EfficientNet) ---
Using device: mps
Creating EfficientNet model 'timm/efficientnet_b0.ra_in1k' with 101 output classes...

--- Dataset Loading (EfficientNet) ---
Checking for Food-101 dataset...
Image transformations created.
Loading Food-101 dataset using torchvision...
Food-101 dataset loaded. Using a subset of 500 samples for this demo.
Loading checkpoint from ./trained_models/efficientnet_checkpoint.pth
Resuming training from epoch 4
Model, optimizer, and criterion initialized.

--- Training Setup (EfficientNet) ---
DataLoader created with batch size 4 for 125 batches.
Initial Training Accuracy: 9.40%

--- Starting EfficientNet Training ---

Epoch [5/124], Batch [1/125] [--------------------] 0.8%, Loss: 4.0774
Epoch [5/124], Batch [2/125] [--------------------] 1.6%, Loss: 4.8847
Epoch [5/124], Batch [3/125] [--------------------] 2.4%, Loss: 3.7476
Epoch [5/124], Batch [4/125] [--------------------] 3.2%, Loss: 3.5577
Epoch [5/124], Batch [5/125] [--------------------] 4.0%, Loss: 3.8353
Epoch [5/124], Batch [6/125] [--------------------] 4.8%, Loss: 3.8329
Epoch [5/124], Batch [7/125] [#-------------------] 5.6%, Loss: 3.3363
Epoch [5/124], Batch [8/125] [#-------------------] 6.4%, Loss: 3.7309
Epoch [5/124], Batch [9/125] [#-------------------] 7.2%, Loss: 4.3789
Epoch [5/124], Batch [10/125] [#-------------------] 8.0%, Loss: 4.1694
Epoch [5/124], Batch [11/125] [#-------------------] 8.8%, Loss: 4.6074
Epoch [5/124], Batch [12/125] [#-------------------] 9.6%, Loss: 4.2409
Epoch [5/124], Batch [13/125] [##------------------] 10.4%, Loss: 3.8458
Epoch [5/124], Batch [14/125] [##------------------] 11.2%, Loss: 3.1282
Epoch [5/124], Batch [15/125] [##------------------] 12.0%, Loss: 4.9863
Epoch [5/124], Batch [16/125] [##------------------] 12.8%, Loss: 5.8677
Epoch [5/124], Batch [17/125] [##------------------] 13.6%, Loss: 3.7231
Epoch [5/124], Batch [18/125] [##------------------] 14.4%, Loss: 4.3492
Epoch [5/124], Batch [19/125] [###-----------------] 15.2%, Loss: 3.4778
Epoch [5/124], Batch [20/125] [###-----------------] 16.0%, Loss: 5.0541
Epoch [5/124], Batch [21/125] [###-----------------] 16.8%, Loss: 4.3723
Epoch [5/124], Batch [22/125] [###-----------------] 17.6%, Loss: 4.1110
Epoch [5/124], Batch [23/125] [###-----------------] 18.4%, Loss: 4.9517
Epoch [5/124], Batch [24/125] [###-----------------] 19.2%, Loss: 4.1599
Epoch [5/124], Batch [25/125] [####----------------] 20.0%, Loss: 4.9380
Epoch [5/124], Batch [26/125] [####----------------] 20.8%, Loss: 4.9494
Epoch [5/124], Batch [27/125] [####----------------] 21.6%, Loss: 3.7623
Epoch [5/124], Batch [28/125] [####----------------] 22.4%, Loss: 3.7934
Epoch [5/124], Batch [29/125] [####----------------] 23.2%, Loss: 4.9140
Epoch [5/124], Batch [30/125] [####----------------] 24.0%, Loss: 4.7502
Epoch [5/124], Batch [31/125] [####----------------] 24.8%, Loss: 4.0208
Epoch [5/124], Batch [32/125] [#####---------------] 25.6%, Loss: 4.5052
Epoch [5/124], Batch [33/125] [#####---------------] 26.4%, Loss: 5.8609
Epoch [5/124], Batch [34/125] [#####---------------] 27.2%, Loss: 3.3812
Epoch [5/124], Batch [35/125] [#####---------------] 28.0%, Loss: 4.9982
Epoch [5/124], Batch [36/125] [#####---------------] 28.8%, Loss: 4.0415
Epoch [5/124], Batch [37/125] [#####---------------] 29.6%, Loss: 5.5099
Epoch [5/124], Batch [38/125] [######--------------] 30.4%, Loss: 5.0688
Epoch [5/124], Batch [39/125] [######--------------] 31.2%, Loss: 3.8972
Epoch [5/124], Batch [40/125] [######--------------] 32.0%, Loss: 4.6104
